AoA,AirSpeed,Moment,Cm
0,21.70000000000004,-487.08861600000176,-0.1
0,21.80000000000004,-491.58825600000176,-0.1
0,21.90000000000004,-496.1085840000019,-0.1
0,22.000000000000043,-500.64960000000195,-0.1
0,22.100000000000044,-505.21130400000203,-0.1
0,22.200000000000045,-509.7936960000021,-0.1
0,22.300000000000047,-514.3967760000022,-0.1
0,22.40000000000005,-519.0205440000021,-0.1
0,22.50000000000005,-523.6650000000022,-0.1
0,22.60000000000005,-528.3301440000024,-0.1
0,22.700000000000053,-533.0159760000024,-0.1
0,22.800000000000054,-537.7224960000025,-0.1
0,22.900000000000055,-542.4497040000027,-0.1
0,23.000000000000057,-547.1976000000027,-0.1
0,23.10000000000006,-551.9661840000028,-0.1
0,23.20000000000006,-556.7554560000028,-0.1
0,23.30000000000006,-561.565416000003,-0.1
0,23.400000000000063,-566.396064000003,-0.1
0,23.500000000000064,-571.247400000003,-0.1
0,23.600000000000065,-576.1194240000032,-0.1
0,23.700000000000067,-581.0121360000032,-0.1
0,23.800000000000068,-585.9255360000033,-0.1
0,23.90000000000007,-590.8596240000035,-0.1
0,24.00000000000007,-595.8144000000035,-0.1
0,24.100000000000072,-600.7898640000036,-0.1
0,24.200000000000074,-605.7860160000038,-0.1
0,24.300000000000075,-610.8028560000038,-0.1
0,24.400000000000077,-615.840384000004,-0.1
0,24.500000000000078,-620.8986000000041,-0.1
0,24.60000000000008,-625.977504000004,-0.1
0,24.70000000000008,-631.0770960000041,-0.1
0,24.800000000000082,-636.1973760000042,-0.1
0,24.900000000000084,-641.3383440000043,-0.1
0,25.000000000000085,-646.5000000000043,-0.1
0,25.100000000000087,-651.6823440000044,-0.1
0,25.200000000000088,-656.8853760000046,-0.1
0,25.30000000000009,-662.1090960000047,-0.1
0,25.40000000000009,-667.3535040000048,-0.1
0,25.500000000000092,-672.6186000000048,-0.1
0,25.600000000000094,-677.9043840000049,-0.1
0,25.700000000000095,-683.2108560000052,-0.1
0,25.800000000000097,-688.5380160000052,-0.1
0,25.900000000000098,-693.8858640000053,-0.1
0,26.0000000000001,-699.2544000000054,-0.1
0,26.1000000000001,-704.6436240000054,-0.1
0,26.200000000000102,-710.0535360000056,-0.1
0,26.300000000000104,-715.4841360000057,-0.1
0,26.400000000000105,-720.9354240000058,-0.1
0,26.500000000000107,-726.407400000006,-0.1
0,26.600000000000108,-731.900064000006,-0.1
0,26.70000000000011,-737.4134160000061,-0.1
0,26.80000000000011,-742.9474560000061,-0.1
0,26.900000000000112,-748.5021840000063,-0.1
0,27.000000000000114,-754.0776000000064,-0.1
0,27.100000000000115,-759.6737040000064,-0.1
0,27.200000000000117,-765.2904960000064,-0.1
0,27.300000000000118,-770.9279760000067,-0.1
0,27.40000000000012,-776.5861440000068,-0.1
0,27.50000000000012,-782.2650000000068,-0.1
0,27.600000000000122,-787.9645440000069,-0.1
0,27.700000000000124,-793.6847760000071,-0.1
0,27.800000000000125,-799.4256960000072,-0.1
