Voltage,Current,RPM,Torque
112,7.235142118863049,1133.4399999999998,6.801033591731265
113,7.299741602067184,1143.56,6.861757105943152
114,7.364341085271318,1153.6799999999998,6.922480620155038
115,7.428940568475452,1163.8,6.983204134366924
116,7.493540051679586,1173.9199999999998,7.04392764857881
117,7.558139534883721,1184.04,7.104651162790697
118,7.622739018087855,1194.1599999999999,7.165374677002583
119,7.68733850129199,1204.28,7.2260981912144695
120,7.751937984496124,1214.3999999999999,7.286821705426355
121,7.816537467700258,1224.52,7.347545219638242
122,7.881136950904392,1234.6399999999999,7.408268733850129
123,7.945736434108527,1244.76,7.468992248062015
124,8.010335917312661,1254.8799999999999,7.529715762273901
125,8.074935400516795,1265.0,7.590439276485787
126,8.13953488372093,1275.12,7.651162790697674
127,8.204134366925064,1285.24,7.7118863049095605
128,8.268733850129198,1295.36,7.772609819121446
